book_id,record_id,post_title,post_date,read_title,read_subtitle,read_authors,read_date,read_year,read_rating,read_link,read_isbn,read_publisher,read_image
56,,I'm Still Here,2020-08-15 17:46:00,I'm Still Here,Black Dignity in a World Made for Whiteness,Austin Channing Brown,2018-05-15,2018,,https://www.goodreads.com/book/show/35883430-i-m-still-here,9781524760854,Convergent Books,
55,,Wintering,2020-07-26 12:10:21,Wintering,How I learned to flourish when life became frozen,Katherine May,2020-02-06,2020,,https://www.goodreads.com/en/book/show/45712900,9781846045981,Rider,
54,,Good Services,2020-07-23 13:01:51,Good Services,How to design services that work,Lou Downe,,2019,,https://www.goodreads.com/book/show/51209181-good-services,9789063695439,BIS Publishers,
53,,"Offscreen, Issue 23",2020-07-19 16:49:03,Offscreen,Issue 23,,,2020,,,,Offscreen Media,
52,,This Is Service Design Doing,2020-07-17 15:33:00,This Is Service Design Doing,Applying Service Design Thinking in the Real World,Marc Stickdorn; Markus Edgar Hormess; Adam Lawrence; Jakob Schneider,2018-01-02,2018,,https://www.goodreads.com/book/show/38244565-this-is-service-design-doing,9781491927137,O'Reilly Media,
51,,How to Overcome Your Childhood,2020-06-21 19:42:00,How to Overcome Your Childhood,,,2020-02-04,2020,,,9781999917999,The School of Life Press,
50,,Exhalation by Ted Chiang,2020-04-06 16:06:00,Exhalation,Stories,Ted Chiang,2019-05-07,2019,9,https://www.goodreads.com/book/show/41160292-exhalation,9781101947883,Knopf,
49,,Trick Mirror by Jia Tolentino,2020-03-25 16:57:00,Trick Mirror,Reflections on Self-Delusion,Jia Tolentino,2019-08-06,2019,,https://www.goodreads.com/book/show/43126457-trick-mirror,9780525510543,Random House,
48,,Figuring by Maria Popova,2020-02-28 16:53:00,Figuring,,Maria Popova,2019-02-05,2019,9.5,https://www.goodreads.com/book/show/40277347-figuring,9781524748135,Pantheon Books,
47,,"Frank Lloyd Wright: Natural Design, Organic Architecture",2020-02-12 16:49:00,"Frank Lloyd Wright: Natural Design, Organic Architecture",Lessons for Building Green from an American Original,Alan Hess; Alan Weintraub,2012-10-16,2012,,https://www.goodreads.com/book/show/13573204-frank-lloyd-wright,9780847837960,9780847837960,
46,,How to Do Nothing by Jenny Odell,2020-01-04 17:48:00,How to Do Nothing,Resisting the Attention Economy,Jenny Odell,2019-04-19,2019,9,https://www.goodreads.com/book/show/42771901-how-to-do-nothing,9781612197494,Melville House,
